Channel, Peak Time (s),Peak Amplitude (mV),Inter-Peak Distance (s)
0,1.975850,-506.245962,
0,3.957000,-507.374681,1.981150
0,5.935300,-506.496125,1.978300
0,7.913900,-504.590951,1.978600

1,1.977850,-508.288382,
1,3.955800,-506.297161,1.977950
1,5.933800,-507.892813,1.978000
1,7.913150,-505.241493,1.979350

2,1.977100,-507.658421,
2,3.957100,-508.252926,1.980000
2,5.935050,-508.558257,1.977950
2,7.913600,-506.888714,1.978550

3,1.978750,-506.487014,
3,3.956850,-508.780520,1.978100
3,5.933150,-506.483792,1.976300
3,7.913200,-506.040646,1.980050

4,1.979100,-510.244145,
4,3.955300,-506.823102,1.976200
4,5.934450,-508.074315,1.979150
4,7.912950,-505.805801,1.978500

